Muetsra XRF,Año,Lote,Investigador,Fecha,Operación,Unidad,Material,Cantidad,Peso (gr),Artefacto,Notas Lab.,Num de Caja,Descripcion,Muetsra XRF,Muestra,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,Rh,Mn(log10),Fe(log10),Zn(log10),Ga(log10),Th(log10),Rb(log10),Sr(log10),Y(log10),Zr(log10),Nb(log10)
PATT50,2013,45,,,17,J8,Basalto Vesicular/Tezontle,1,,Fragmetno no definido,Para analisis geoquimico,1,Fragmento no identificado de pieza de basalto de forma curveada,PATT50,Patt50,748.40,42361.34,62.78,15.10,4.48,34.53,330.35,19.79,123.62,8.85,,2.874,4.627,1.798,1.179,0.651,1.538,2.519,1.296,2.092,0.947
PATT51,2013,41,,,17,I21,Basalto,1,,canto de basalto muy fino parecido a Alisador de canto de río,Para analisis geoquimico,1,Basalto de grano muy fino parecido a un canto grande,PATT51,Patt51,597.94,37526.24,76.67,18.45,2.25,48.27,347.06,22.87,148.97,8.75,,2.777,4.574,1.885,1.266,0.353,1.684,2.540,1.359,2.173,0.942
PATT52,2013,7,,,17,K20,Basalto,1,,Fragmento simi-circular,Para analisis geoquimico,1,Fragmento semi circular hecho de basalto,PATT52,Patt52,973.36,45005.65,99.01,15.02,1.18,22.13,392.29,19.01,131.32,4.43,,2.988,4.653,1.996,1.177,0.070,1.345,2.594,1.279,2.118,0.647
PATT53,2013,89,,,17,H21,Basalto,1,,Percutor/esfera,Para analisis geoquimico,1,Esfera posible percutor grande,PATT53,Patt53,491.04,25208.52,39.14,13.89,5.02,84.44,258.90,24.75,117.33,8.02,,2.691,4.402,1.593,1.143,0.701,1.927,2.413,1.393,2.069,0.904
PATT54,2013,89,,,17,H21,Basalto,1,,Esfera,Para analisis geoquimico,1,Fragmento de esfera pequeña,PATT54,Patt54,2439.07,47159.05,95.10,22.13,4.59,28.21,459.44,27.72,204.91,9.40,,3.387,4.674,1.978,1.345,0.662,1.450,2.662,1.443,2.312,0.973
PATT55,2013,3,,,17,J8,Basalto,1,,Laja,Para analisis geoquimico,1,Fragmento de laja con pintura roja ,PATT55,Patt55,194.07,27377.48,62.48,19.85,10.09,74.43,321.33,23.72,149.30,8.03,,2.288,4.437,1.796,1.298,1.004,1.872,2.507,1.375,2.174,0.905
PATT56,2013,160,,,17,J21,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,2,Laja,PATT56,Patt56,240.85,21636.39,60.61,17.44,11.14,69.29,688.03,30.36,169.78,6.79,,2.382,4.335,1.783,1.242,1.047,1.841,2.838,1.482,2.230,0.832
PATT57,2013,160,,,17,J21,Basalto,1,,Alisador esférico,Para analisis geoquimico,2,Pulidor,PATT57,Patt57,972.93,52378.01,71.83,19.54,5.02,18.42,343.84,20.61,125.28,4.56,,2.988,4.719,1.856,1.291,0.701,1.265,2.536,1.314,2.098,0.659
PATT58,2013,189,,,17,I22,Basalto Vesicular/Tezontle,1,,Material Constructivo,Para analisis geoquimico,2,material constructivo con revestimiento de cal,PATT58,Patt58,698.54,40126.37,73.94,12.56,4.15,31.70,345.84,16.54,130.49,6.98,,2.844,4.603,1.869,1.099,0.618,1.501,2.539,1.218,2.116,0.844
PATT59,2013,8,,,17,J20,Basalto,1,,Mano de metate,Para analisis geoquimico,1,Fragmento de mano de metate,PATT59,Patt59,706.45,37291.20,78.99,15.09,2.36,12.87,429.65,18.11,147.19,5.41,,2.849,4.572,1.898,1.179,0.373,1.109,2.633,1.258,2.168,0.733
